,Player Name,AVG_Driving_Distance,FAIRWAY_HIT_%,AVG_CARRY_DISTANCE,AVG_SCORE,WORLD_RANK
0,Aaron Baddeley,286.3,326.0,273.8,71.11,0.8675
1,Aaron Pike,,,,,0.23
2,Aaron Rai,,,,,0.975
3,Aaron Wise,303.75,411.75,288.0,70.89333333,1.9125
4,Abraham Ancer,292.975,555.5,269.9,70.64666667,2.14
5,Adam Bland,,,,,0.245
6,Adam Hadwin,291.325,486.75,278.0,70.99666667,2.0325
7,Adam Long,293.15,540.5,279.1,70.94333333,1.27
8,Adam Schenk,300.875,627.0,290.7,70.59333333,0.7375
9,Adam Scott,299.075,245.0,282.1,71.58,4.7925
10,Adam Svensson,289.55,471.5,272.9,70.44333333,0.405
11,Adilson da Silva,,,,,0.535
12,Adri Arnaus,,,,,1.185
13,Adrian Meronk,,,,,0.425
14,Adrian Otaegui,,,,,1.47
15,Adrien Saddier,,,,,0.1925
16,Ajeetesh Sandhu,,,,,0.455
17,Ake Nilsson,,,,,0.2225
18,Akio Sadakata,,,,,0.1775
19,Aksel Olsen,,,,,0.35
20,Akshay Bhatia,,,,,
21,Albert Venter,,,,,0.1325
22,Albin Choi,,,,,
23,Alejandro Canizares,,,,,0.2325
24,Alex Beach,,,,,
25,Alex Cejka,277.325,348.25,266.8,70.51333333,0.285
26,Alex Chiarella,,,,,0.15
27,Alex Haindl,,,,,0.4025
28,Alex Kang,,,,,
29,Alex Noren,300.925,319.25,290.5,71.20333333,2.6775
30,Alex Prugh,303.675,469.5,292.0,70.47,0.46
31,Alex Wennstam,,,,,0.13
32,Alexander Bjork,,,,,1.3925
33,Alexander Hicks,,,,,
34,Alexander Levy,,,,,0.9625
35,Alexandre Daydou,,,,,0.12
36,Alexandre Rocha,,,,,0.2375
37,Alfie Plant,,,,,0.21
38,Alistair Docherty,,,,,
39,Allen John,,,,,0.465
40,Alvaro Ortiz,,,,,
41,Alvaro Quiros,,,,,0.7875
42,Aman Raj,,,,,0.1725
43,Anders Albertson,292.9,403.5,274.5,70.25666667,0.5175
44,Andre De Decker,,,,,0.18
45,Andrea Pavan,,,,,1.6975
46,Andreas Gronkvist,,,,,0.1775
47,Andreas Halvorsen,,,,,0.1775
48,Andres Echavarria,,,,,0.1475
49,Andres Gallegos,,,,,0.2175
50,Andres Gonzales,,,,,0.21
51,Andres Romero,,,,,0.2225
52,Andrew Dodt,,,,,0.1875
53,Andrew Filbert,,,,,
54,Andrew Johnston,,,,,0.705
55,Andrew Landry,287.0,578.0,269.0,70.59333333,1.0825
56,Andrew Martin,,,,,0.12666666699999998
57,Andrew Novak,,,,,0.12
58,Andrew Putnam,282.225,387.0,263.1,71.04333333,2.5925
59,Andrew Svoboda,,,,,0.25
60,Andrew Yun,,,,,
61,Andy Pope,,,,,
62,Andy Sullivan,,,,,1.37
63,Angel Cabrera,,,,,
64,Angelo Que,,,,,0.605
65,Anirban Lahiri,289.825,471.25,270.8,70.49333333,0.6075
66,Anthony Michael,,,,,0.24
67,Anthony Quayle,,,,,0.5125
68,Antoine Rozner,,,,,0.9125
69,Anton Karlsson,,,,,0.565
70,Antti Ahokas,,,,,0.1775
71,Arjun Atwal,,,,,0.1625
72,Armando Favela,,,,,
73,Ashley Chesters,,,,,0.4575
74,Ashley Hall,,,,,0.25
75,Ashton Turner,,,,,
76,Ashun Wu,,,,,0.66
77,Atomu Shigenaga,,,,,0.6275
78,Augusto Nunez,,,,,0.21
79,Austen Truslow,,,,,0.15
80,Austin Connelly,,,,,0.165
81,Austin Cook,290.425,476.25,273.6,70.46,0.9775
82,Austin Eckroat,,,,,
83,Austin Smotherman,,,,,0.3375
84,Beau Hossler,299.35,514.0,287.2,70.6,1.2025
85,Ben Campbell,,,,,0.33
86,Ben Cook,,,,,
87,Ben Crane,279.4,256.0,264.6,70.68,0.345
88,Ben Eccles,,,,,0.225
89,Ben Evans,,,,,0.195
90,Ben Griffin,,,,,
91,Ben Kohles,,,,,0.265
92,Ben Leong,,,,,0.3025
93,Ben Martin,,,,,0.155
94,Ben Silverman,286.825,495.5,272.6,70.54666667,0.4225
95,Ben Stow,,,,,0.4325
96,Ben Taylor,,,,,0.2525
97,Benjamin Follett-Smith,,,,,0.425
98,Benjamin Hebert,,,,,1.375
99,Benjamin Henry Poke,,,,,0.205
100,Benjamin Rusch,,,,,0.2275
101,Benjamin Wheeler,,,,,0.1625
102,Bernard Ritthammer,,,,,0.1525
103,Bernd Wiesberger,,,,,2.57
104,Bernhard Langer,,,,,0.1475
105,Berry Henson,,,,,0.5225
